Date,Title,Description
2022-01-06T21:39:00Z,U.S. stocks end lower Thursday as investors digest rising rates and tech rout,"U.S. stocks close lower across the board Thursday, with the Nasdaq Composite giving up a modest bounce in the final minutes of trade as rising yields and a tech-led rout weigh on Wall Street."
2022-01-07T06:03:46Z,"Here's Looking At You, QT",Quantitative tightening is actually more important to equity valuation. Read more to know how to estimate potential drawdowns once QT is finalized.
2022-01-07T13:28:00Z,My Favorite Cathie Wood Stock for 2022,"Roku is a major ARK Innovation ETF holding, and the company's growing fast. But its share price fell 31% in 2021."
2022-01-07T15:10:00Z,"Bitcoin is off to the worst start to a calendar year in 8 years, as the crypto plunges to a 3-month low","Bitcoin has further declined on Friday, as the U.S. added weaker-than-expected 199,000 new jobs in December, while the recent selling pressure leads to increasing liquidations of bitcoin futures positions."
2022-01-07T21:53:24Z,Why Block Stock Got Knocked on Friday,Two fresh analyst target price cuts sent the shares down on the day.
2022-01-08T01:13:01Z,SoFi: 50 Top Growth Stocks Down Big - These 3 Are Worth Considering,It's been a growth stock bloodbath. We share data on 50 top growth stocks that are down big. Click here to read more...
2022-01-08T07:20:22Z,ARK Innovation ETF: The Strategy Is Dead,The ARK Innovation ETF (ARKK) received a lot of attention in the COVID-19 era as its innovator stock strategy outperformed as the pandemic raged. Read to know our thoughts...
2022-01-08T18:28:00Z,"Weekend reads: When tech stocks fade, where do you go?","Also, alternatives to ARKK, bitcoin's slide, stocks screens, retirement planning and ""the best job in America."""
2022-01-08T21:42:09Z,"Top 10 Stock Market Moving Headlines From Last Week: Tesla, Ark Innovation ETF, Bitcoin And More","Benzinga debuted a new show on its YouTube channel Friday. The show will air every Friday and recap the top events of the week for stock traders.
Here are the top ten stock market moving headlines of the past week.
10: Tesla Fourth Quarter Deliveries: Electric vehicle giant Tesla Inc (NASDEQ:TSLA) reported record fourth quarter deliveries to kick off the trading week and the start of 2022. The company reported fourth quarter deliveries of 308,600, which marked a 28% quarter-over-quarter increase from the third quarter.
Deliveries for the fourth quarter were up 71% year-over-year and came in sharply ahead of analysts’ expectations. Tesla delivered 936,172 units for the full fiscal year, beating analyst estimates as well.
Shares of Tesla started the week trading higher but ended the week down 3%, closing Friday at $1,026.96.
9: Elizabeth Holmes Guilty: Theranos Inc Founder and former CEO Elizabeth Holmes was found guilty on four counts of criminal fraud. A jury convicted the founder of the blood-testing startup on one count of conspiracy to commit wire fraud and three counts of wire fraud against an investor. Holmes was found guilty of four additional charges, while the jury was unable to reach a verdict on three other charges.
Holmes helped Theranos raise over $400 million from investors and became a media darling during her time with Theranos. 
Holmes faces a prison sentence of up to 20 years on the charges. A sentencing date has not yet been announced.
8. Ford Bumps Up F-150 Lightning Production: On Tuesday, Ford Motor Co (NYSE: F) announced it would nearly double production of the highly anticipated electric pickup truck, the F-150 Lightning. Ford also announced it was opening the first order bank for the truck on Thursday.
Ford is now planning to produce 150,000 Lightning trucks per year by mid-2023. The increased production figures come due to “soaring customer ..."
2022-01-09T05:55:07Z,ASG: A Nice Sell Signal,"ASG focuses on growth stocks and allocates its assets among three investment managers. Click here to read about the CEF's portfolio, performance, and my recommendation."
2022-01-09T13:00:00Z,Sentiment Speaks: Are We Ready To Drop To 4400SPX?,The market will likely be revisiting the 4400SPX over the coming months. The only question is if we can stretch to one more higher all-time high before we begin the pullback to 4400SPX.
2022-01-10T05:11:00Z,K2 Hedge-Fund Strategy Outlook: First Quarter 2022,"As we commence 2022, the prospect of a reduction of global liquidity provided by major central banks has increased volatility in the traditional equity and fixed income markets."
2022-01-10T06:35:00Z,"The 1-Minute Market Report - January 8, 2022",Commodities were the only major index to gain ground last week. Read here for a detailed review...
2022-01-10T08:36:00Z,Sector Themes In Play In The Markets For 2022,Dips will continue to be bought unless something significant changes. Click here for more...
2022-01-10T13:21:00Z,Here's the market move Cathie Wood says is 'ridiculous' as her flagship fund sputters,Cathie Wood says it isn't the stocks that she favors that are in a bubble.
2022-01-10T15:00:00Z,Market Crash 2022? Why Long-Term Growth Stocks Work,"Why is the stock market going down? As a long-term investor, what should you do next?"
2022-01-10T16:00:00Z,"Down 60%, Is This ARK Invest Favorite a Buy Now?",Could 2022 be the year Roku bounces back?
2022-01-10T23:41:28Z,DocuSign: Cathie Wood Reverses Course,"When shares plunged, Ark Invest added significantly. Last week, ARKK started liquidating its position."
2022-01-11T07:38:48Z,ARKK: Disruptive Tech Investing Has Never Been A One-Year Approach,"ARKK ETF has continued to underperform the broad market. But we think the current narrative over inflation, the Fed, and bond yields is transitory and re-iterate an ARKK buy."
2022-01-11T11:15:00Z,Will Investors See a Tech Sector Market Top in 2022?,"Last year featured excellent performances by some of the sector's leading names, which also happen to be among the biggest public U.S. companies."
2022-01-11T12:00:00Z,How We Beat The Market In 2021 And Aim To Do It Again In 2022,"In 2021, we were blessed to outperform the market substantially. Check out the three key factors that will help us outperform once again in 2022."
2022-01-11T19:45:05Z,The Real Reason That ARKK Continues To Sink,ARK Innovation ETF's exposure to long-duration equity positions faces interest rate headwinds in 2022. Learn more about ARKK here.
2022-01-12T22:29:00Z,Cathie Wood is expecting a 'bloodbath' in this segment of the market: 'autos are one example of…many disturbances out there in the world order' ,"Cathie Wood, the star fund manager and chief executive of ARK Invest, in a Tuesday monthly market update says that the used car market is where she is expecting possible losses after a surge in values."
2022-01-12T22:57:00Z,Be Greedy When Others Are Fearful,"Don't let the fear-mongering ""40-Year High"" headlines scare you out of this market"
2022-01-13T12:10:00Z,3 Beaten-Down Cathie Wood Stocks That Could Make Comebacks in 2022,"These ARK Innovation ETF holdings are trading at bargain valuations, but their longer-term outlooks are promising."
2022-01-13T13:30:00Z,1 Key Ratio All Investors Should Be Looking at When Buying Growth Stocks in 2022,It can help investors spot a risky stock.
2022-01-14T12:30:00Z,2 Outrageous Claims To Beat The Market In 2022,"To beat the stock market, you need to be outrageous, but you also need to be right. The more divisive an issue, the more likely there is an investment opportunity to exploit."
2022-01-14T13:37:00Z,"Five overlooked tech stocks poised to be the 'household names of the future,' according to this money manager","Our call of the day from Michael Loukas, principal & CEO of TrueMark Investments, offers up 'category killers' in tech such as AI, cybersecurity and deep learning."
2022-01-14T14:38:32Z,"1 Green Flag for DocuSign in 2022, and 1 Red Flag",The e-signature leader remains a divisive investment.
2022-01-14T15:46:34Z,"TINA Was Wrong, Cash Is Not Trash, And There Is An Alternative","Despite high rates of inflation, recent CPI readings register a 7.0% inflation rate, many stock prices have deteriorated faster than cash prices. See more here."
2022-01-14T21:32:43Z,Benzinga Asks: Which ARK Fund Would You Rather Buy And Hold For 5 Years?,"One of the best-known and well-covered ETF companies over the past five years has been ARK Invest, led by Cathie Wood. With the funds falling over the past year and hitting new lows, Benzinga asked which fund would be favored to buy and hold.
What Happened: Benzinga routinely polls its Twitter Inc (NYSE: TWTR) followers and used this week to ask a question about ARK Funds.
“If you had to pick one of the following to buy and hold for five years, which would it be?” Benzinga asked. 
Here’s a look at the four choices, which all hit new 52-week lows at some point on Friday. The prices below are from Friday afternoon at market close. 
ARK Innovation (NYSE: ARKK)
Price: $80.21
52-Week Range: $77.54-$159.70
Top Holdings: Tesla Inc (NASDAQ: TSLA), Zoom Video Communications Inc (NASDAQ: ZM), Teladoc Health Inc (NYSE: TDOC), Roku Inc (NASDAQ: ROKU) and Coinbase Global Inc (NASDAQ: COIN).
1 Year Return: -43.1%
3 Year ..."
2022-01-15T12:00:00Z,Buyer Beware: 2 High Yield Stocks We Are Avoiding & 2 We Are Buying,"Despite overall frothy stock market, there remains some opportunistic names in high yield space. Check out these 2 stocks we're buying, 2 stocks we're avoiding."
2022-01-15T14:40:00Z,"Bet against tech and these other winners from the Fed's loose policies, says Bank of America strategist","It's time to bet against the winners from the Federal Reserve's unprecedented easing, a top Bank of America strategist."
2022-01-16T00:13:00Z,Four reasons why value stocks are poised to outperform growth in 2022 — and 14 stocks to consider,Rising interest rates and faster inflation are positive for value strategies.
2022-01-16T13:00:00Z,Sentiment Speaks: Are We Setting Up For A 'Mini-Crash'?,"Investors often look to the wrong drivers to make decisions about their investments. When you take a deeper view of true market drivers, it will lead you to surprising conclusions."
2022-01-16T13:17:00Z,3 Bargain Stocks Cathie Wood Loves,Think every Cathie Wood stock is expensive? Think again.
2022-01-17T11:15:00Z,2 Top Bargain Stocks Ready for a Bull Run,These supercharged tech stocks can go against the grain and reward investors.
2022-01-17T11:20:46Z,The Capital Sponge,We discuss the factors that led to strong US stock market performance in recent years. Check out the factors that could cause this trend to run out of steam.
2022-01-17T12:25:00Z,3 Cathie Wood Stocks to Buy and Hold for 10 Years,These fast-growing stocks from the ETF guru's portfolios could make investors rich over the coming decade.
2022-01-17T17:53:00Z,Get ready for the climb. Here's what history says about stock-market returns during Fed rate-hike cycles.,"As it turns out, during so-called Federal Reserve interest rate-hike cycles, which we seem set to enter as early as March, the U.S. stock market tends to perform strongly, not poorly."
2022-01-17T21:02:43Z,Tesla: Cathie Wood Keeps Selling,Cathie Wood's firm Ark Invest continues to sell Tesla stock in a meaningful way. TSLA stock loses No. 1 spot in ARKW ETF. Check out my thoughts on this selling.
2022-01-18T06:49:18Z,ARK Innovation's Situation Could Be Worse Than We Initially Thought,"Although the ARKK fund is actively managed, it still holds a mandate which could be susceptible to the higher interest rates forecasted for 2022."
2022-01-18T14:55:09Z,Cathie Wood Explains Why Ark Investment Sends A Daily Email Disclosing Stock Moves,"Every night, an email comes out from Ark Investment Management highlighting the stocks that were bought or sold by the firm's ETFs. In recent months, the emails have been known to cause certain stocks to spike in the after-hours session.
Ark Founder and CEO Cathie Wood joined Benzinga for an interview and discussed why Ark does this and why it's important.
Daily Email: The ETF world was suspicious of how active management of an ETF would look like. This led to Wood issuing a daily email showing trades that the Ark Funds bought and sold each day.
The daily email includes transactions made ..."
2022-01-19T05:40:00Z,What's The Number? 2022 Edition,"The Fed is threatening financial markets with tighter money, and markets aren’t happy. Tighter monetary policy will blow up all trades currently in place in stocks, bonds, real estate, etc."
2022-01-19T14:14:00Z,"Oil prices have surged, but here's why one fund manager warns they've gone too far",Are you sure energy is a safe haven? Here's why one fund manager is pessimistic on oil prices.
2022-01-19T15:45:00Z,This Beaten-Down Healthcare Stock Could Skyrocket in 2022,Investors shouldn't rule this stock out yet.
2022-01-19T15:57:51Z,Cathie Wood Sees 'Enormous' Arbitrage Opportunity,"Ark Investment Management CEO Cathie Wood took to Twitter on Wednesday to highlight what she sees as an ""enormous"" arbitrage opportunity between the public and private markets.
What Happened? On Wednesday, Wood tweeted in response to news that spare-change investing and checking account app Acorns Grow Inc. is canceling its $2.2-billion SPAC merger and pursuing another round of private fundraising.
Related Link: Cathie Wood Explains Why Ark Investment Sends A Daily Email Disclosing Stock Moves 
""The disconnect between valuations for innovative companies in the public vs. private markets is as wide as I ever have seen. The ..."
2022-01-19T17:16:23Z,"Yes, The Crash Will Probably Get Worse From Here",Most of the major stock averages are still down by fewer than 10%. Check out why we think the declines could continue and accelerate moving forward.
2022-01-21T06:00:00Z,Let The Wild Rumpus Begin,Today in the U.S. we are in the fourth superbubble of the last hundred years.
2022-01-21T13:00:00Z,Sentiment Speaks: Stock Market Quoted As Saying 'The Reports Of My Demise Are Greatly Exaggerated',The bull market is setting up its next leg higher. Investors should take off their blinders and begin to open their minds to the sentiment aspects driving our markets.
2022-01-21T14:26:30Z,"ARKK, Cathie Wood, And The Bursting Bubble",ARK Innovation's macro calls have not come true so far. Rising rates are a huge headwind for expensive growth stocks. Read more about ARKK here.
2022-01-21T16:25:10Z,Get Ready For The Tech Drop To Accelerate,Technology stocks have been dropping since the November tech top blew off. Valuations are still elevated despite declines in mega-cap tech names. See more here.
2022-01-21T21:36:57Z,Why This Former Money Manager Thinks Hyper-Growth Stocks Are Positioned To Rally,"High-growth stocks have been facing selling pressure over the last few months amid rising Treasury yields and increasing inflation concerns. 
Many think there is more downside ahead for some of the hyper-growth names, but former money manager Puru Saxena sees it playing out differently.
""When the sugar high from QE and fiscal stimulus wears off, the truly promising (fundamentally sound) companies with massive growth runways and excellent management teams will shine again,"" Saxena said Thursday on Twitter Inc (NYSE: ..."
2022-01-22T05:35:00Z,Q&A With ARK Invest's Cathie Wood,We’ve been concentrating our portfolios towards our highest conviction names and so we haven’t done anything different.
2022-01-22T14:00:00Z,Buy The Dips: High Inflation Will End Soon,We think that this is a buying opportunity because high inflation should be nearing its final stages.
2022-01-22T14:03:00Z,"As stock-market turbulence revs up, this ETF theme has drawn 32% of flows in 2022 so far: 'This isn't a flash in the pan'","Every week we highlight the most timely exchange-traded fund news, from new launches to inflows and performance."
2022-01-23T09:45:27Z,ARKK: Moving From Sell To Hold After A +250% Annualized Return,"ARK Innovation ETF (ARKK) has fractured, with a violent disintegration ongoing amidst the Tech rout. See why we think the bottom isn't in for ARKK ETF yet."
2022-01-25T05:25:00Z,Rate Hikes: The Fed Won't Hike Nearly As Much As Expected,Rate hikes will be far fewer than the markets currently expect.
2022-01-25T13:00:00Z,Sentiment Speaks: Is Everyone Going To Be Right About This Bear Market?,My expectation was to see a sizable pullback in the market in the first quarter of 2022.
2022-01-25T18:28:44Z,Buy The Drop: The Stock Market May Have Bottomed,Recent price action and the technical image suggest we may have seen a panic-induced bottom in stock markets. Find out how I profited from the declines.
2022-01-26T11:48:00Z,"Down 54%, Is Cathie Wood's Flagship Fund a Buy?",The Ark Innovation ETF is now underperforming the Nasdaq over the last three-year period.
2022-01-26T11:52:00Z,Cathie Wood Goes Bargain Hunting With These 3 Stocks,Technology stocks have continued to see heavy selling activity in 2022. Cathie Wood has been buying the dip in three names in particular.
2022-01-26T12:31:00Z,2 Charts That Show Why Investors Might Be More Conservative in 2022,The S&P 500 may be overdue for a pullback this year.
2022-01-26T14:16:00Z,It's Jerome Powell time — and one Wall Street bank warns the S&P 500 could fall another 20%. Goldman Sachs says the bull market will continue.,"Fed day is here, and Wall Street is divided on whether the selling stops or not."
2022-01-26T15:00:00Z,4 Stocks on My Radar During This Dip,The stock market decline could be providing excellent opportunities for long-term investors.
2022-01-28T01:41:37Z,"Cathie Wood Buys $28M In Tesla Shares As Stock Crashes, Ending Months-Long Profit Booking Spree","Cathie Wood-led Ark Investment Management on Thursday raised its exposure in Tesla Inc (NASDAQ: TSLA) on the dip, breaking its months-long profit-booking spree in the electric vehicle maker’s stock.
The popular money managing firm bought 33,482 shares — estimated to be worth $27.75 million based on the latest closing price— in Tesla.
Tesla stock closed 11.55% lower at $829.10 a share on Thursday. The stock is down 30.9% so far this year.
Tesla has a 52-week high of $1,243.49 and a 52-week low of $539.49.
See Also: Elon Musk Says Tesla Is Not Currently Working On The $25,000 ..."
2022-01-28T06:25:00Z,Data Update 3: Inflation And Its Ripple Effects,"Inflation and interest rates are intertwined, and when their paths deviate, as they sometimes do, there is always a reckoning."
2022-01-28T07:52:22Z,Jim Cramer's 'Drowning' Sequence With Cathie Wood's Ark Innovation ETF Drives Twitter Crazy,"CNBC host Jim Cramer created a furore on Twitter following his reversal of stance on Cathie Wood’s Ark Innovation ETF (NYSE: ARKK), which he had praised earlier for its bullish bets on Tesla Inc. (NASDAQ: TSLA).
What Happened: On his “Mad Money” show on Thursday, Cramer noted that there is an exchange traded fund called the Tuttle Capital Short Innovation ETF (NASDAQ: SARK) that bets against Wood herself.
Calling Ark “the ultimate hedge fund” that owns textbook growth stocks, Cramer noted that the ETF’s year-to-date returns are down 30%.
Cramer’s reversal on Ark and the ETF’s ‘drowning’ sequence on the ""Mad Money"" show was criticized by some investors ..."
2022-01-28T10:21:50Z,Back To The Basics? Warren Buffett Overtakes Mark Zuckerberg In Wealth Again As Value Bets Shine Over The Growth Story,"Veteran value investor and Berkshire Hathaway Inc (NYSE: BRK-A)(NYSE: BRK-B) CEO Warren Buffett’s net worth on Thursday shot past that of Meta Platforms Inc (NASDAQ: FB) CEO Mark Zuckerberg’s, as per the latest data from Bloomberg Billionaires Index. 
What Happened: With a net worth of $111 billion, Buffett ranked sixth among the world’s richest people and passed Zuckerberg who is currently ranked eight with a $110 billion valuation. 
Buffett’s wealth is up $2.39 billion so far this year, making him the only name in the top 10 that has recorded a positive gain in 2022 so far.
Why It Matters: Barring Buffett’s diversified portfolio, the top ten constituents of the billionaires index is mostly tech-heavy. Technology and growth stocks have ..."
2022-01-28T11:43:00Z,Jim Cramer literally drowns Cathie Wood's ARK as flagship fund falters,Jim Cramer has never been shy to use buzzers and bells to make the occasionally esoteric world of finance more interesting.
2022-01-28T19:50:00Z,Is It Time To Buy High-Growth Stocks?,Has fear caused the stock market to overdo this high-growth correction?
2022-01-28T21:25:15Z,Cathie Wood's ARK Innovation ETF Hits New 52-Week Low: Here Are The Top 5 Holdings In The Flagship Fund,"The new year offers a performance reset for fund managers. Ark Invest's Cathie Wood is surely looking to climb out of the hole her flagship fund, ARK Innovation ETF (ARCA:ARKK), tumbled in 2021, but the Innovation ETF just keeps digging deeper. 
ARK's Innovation fund hit a new 52-week low on Friday when it fell below the $65 level. It's now down about 60% from its all-time high and it's already approaching a 30% decline in the first month of the year.
Despite its dramatic underperformance over the last year or so, the ARK Innovation ETF is still up about 60% over a three-year period and more than 210% over a five-year period.
The longer-term gains can be largely attributed to the outperformance of some of Wood's biggest positions. Here is a look at the top 5 holdings in the ARK Innovation ETF:
Tesla Inc (NASDAQ: TSLA) 


Weighting: 8.07%


52-Week Range: $539.49 - $1,243.49


Current Price: $818.63


Wood may be most well-known for her early and consistent admiration of Tesla. A few months ago, the ARK Invest founder and CEO said her expectations for the stock continue to increase with Tesla's market share. Her base case is $3,000 per share, which Tesla CEO Elon Musk agreed with, contingent upon the company's ability to ""execute really well."" Still, Wood has been trimming her Tesla position and moving money into more beaten-down stocks in recent weeks. 
Related Link: ..."
2022-01-29T06:43:01Z,Fed Caves On Tightenings,"With the SPX near records recently, Fed officials are proclaiming an imminent rate-hike cycle and new QT. While those will start, they will only last while stock markets cooperate."
2022-01-29T13:49:00Z,Where Will Alphabet Be in 10 Years?,The tech juggernaut could still have plenty of room to grow.
2022-01-29T18:22:59Z,Cathie Wood's Ark Invest Defies Analysts And Bulks Up On Robinhood Shares,"A slew of sell-side analysts lowered their price targets for  Robinhood Markets, Inc. (NASDAQ: HOOD) shares after the company reported underwhelming  fourth-quarter results  on Thursday.
Cathie Wood's Ark Invest, however, deemed it fit to add to its position.
What Happened:  Ark Invest bought 2,447,100 shares of Robinhood on Friday, daily trade information from the money management firm showed. At Friday's closing price of $12.73, the total purchase price works out to $31.15 billion.
Ark Invest holds the stock in three of its funds, namely  ARK ETF Trust - ARK Innovation ETF (NYSE: ARKK),  ARK Next Generation Internet ETF ..."
2022-01-30T13:00:00Z,Sentiment Speaks: It's Time To Invest Based Upon Earnings,Do you think earnings are the proper way to prognosticate the market or your investing in specific stocks? Check out my thoughts here.
2022-01-31T05:05:35Z,Long Leading Forecast Through Year End 2022: A Deceleration To Near Recession,"There are 7 long leading indicators from the financial, production, and consumption sectors. Read more to see what they indicate at present."
2022-01-31T14:43:00Z,This ARK holding and pandemic star is down 77% from its peak — why one hedge fund is starting to buy it,Our call of the day comes from a hedge fund that has been buying beaten down Teladoc. Here's why
2022-01-31T15:42:00Z,Bargain Shopping? 2 Top Cathie Wood Stocks to Buy Now,Her favorite companies can still be great buys today.
2022-01-31T18:45:41Z,Why Robinhood Stock Popped Again Today,An endorsement from Cathie Wood helped lift shares of the online brokerage.
2022-02-01T06:10:00Z,"At The Edge Of Chaos: When This Bear Bounces Back, It Should Be Spellbinding","NYAD is now well into bear market territory, having broken decisively below its 200-day MA. And since it is well oversold (RSI well below 30), the odds for a bounce are fairly good."
2022-02-01T06:50:00Z,The Fundamentals Still Apply As Time Goes By,"When the correction is moderate, fundamentally strong stocks can be resilient. But when the correction is 10% or more nothing works. Q4 earnings season though is forcing investors to rethink"
2022-02-02T11:05:00Z,One of Cathie Wood's Worst Stocks Might Be the Best Investment for the Next Decade,These three charts show why it collapsed and the key to its recovery.
2022-02-02T19:17:00Z,"ARK investors have lost $4 billion -- 'We believe we’re going to see the turn sooner rather than later,' Cathie Wood says",A cautionary tale about the massive dangers of jumping onto a Wall Street bandwagon
2022-02-03T08:11:08Z,The Market Crack Heard Around The World,The S&P 500 breaks its 115% annualized rise from March 2020. Read more to see our views on the economy and our investment strategy.
2022-02-03T18:15:06Z,"Stanphyl Capital's Value Stock Pair Trade: Short Tesla, Long GM & Volkswagen","After another brutal year in 2021, Tesla Inc (NASDAQ: TSLA) short sellers are off to a strong start to 2022 with the stock down 14.3% year-to-date after the company was forced to recall 53,822 vehicles that included a Full Self-Driving Beta feature that allowed cars to automatically roll past stop signs.
Spiegel’s Auto Pair Trade: One of Tesla’s most vocal short sellers has been Stanphyl Capital Partners Managing Member & Portfolio Manager Mark Spiegel.
In Stanphyl’s January letter to investors, Spiegel discussed his bearish take on Tesla and how he is using long positions in General Motors Company (NYSE: GM) and Volkswagen (OTC: VWAPY) as the long end of an auto value stock pair trade ..."
2022-02-04T16:35:39Z,Ark Funds Launching New Fund That Could Invest In Private Companies,"One of the biggest and most well-known ETF companies is launching a new closed-end fund that provides major differences from its existing ETFs.
What Happened: Ark Funds, the company founded by Cathie Wood, has filed to launch Ark Venture, a new interval fund.
Ark Venture can invest in privately placed and restricted securities, something the other Ark ETFs don't do.
“In seeking to achieve its investment objective, the fund may invest, without limit, in privately placed or restricted securities, illiquid securities and securities in which no secondary market is readily available, including those of private companies.”
An interval fund conducts quarterly repurchase offers for between 5% and 25% of the outstanding shares at net asset value.
The company expects to repurchase the minimum 5% of outstanding shares each quarter.
The fund will not be listed on a national securities ..."
2022-02-05T11:30:00Z,Here's Why Cathie Wood Is So Bullish on Bitcoin,The star fund manager has a lofty price target for the world's top cryptocurrency.
2022-02-05T12:46:00Z,Facebook parent's over 25% stock plunge spotlights peril for ETF investors of big single-stock exposures,"Every week we highlight the most timely exchange-traded fund news, from new launches to inflows and performance."
2022-02-05T13:53:00Z,"Down 40% This Year, Is Now the Time To Buy Roblox?",The gaming and entertainment platform has seen a huge drop in its share price in 2022.
2022-02-06T13:00:00Z,"Sentiment Speaks: No, Mr. Bond. I Expect You To Fly","Even though the Fed is signaling rate increases, the market is suggesting rates are about to drop. Here is what you should do."
2022-02-08T05:05:00Z,"At The Edge Of Chaos: Sellers Seem Exhausted, Market Trading In Crucial Decision Zone","Interestingly, there was a lot of whispering on trading desks about the employment numbers, and with good reason."
2022-02-08T12:08:40Z,Twitter: Cathie Wood Reverses Course,"A month after Cathie Wood was positive on Twitter, the ARKW ETF started selling TWTR stock. Find out what made Ark Invest completely turn in a matter of weeks."
2022-02-08T12:37:43Z,Cathie Wood's Ark Invest Sells $142M In Twitter Stock Ahead Of Q4 Earnings,"In the run to the fourth-quarter earnings report from Twitter, Inc. (NYSE: TWTR), Cathie Wood's  Ark Invest offloaded a chunk of shares of the short-messaging social media app.
What Happened:  Ark Invest sold 3,944,718 shares of Twitter on Monday, according to a daily trade report from the money manager showed. At Monday's closing price of $36.04, the sale is worth $142.17 million.
The bulk of the liquidations were from Ark's flagship ARK ETF Trust - ARK Innovation ETF (NYSE: ARKK). Following the disposal, Twitter accounted for about 1.105% of the ETF's holdings.
Ark ..."
2022-02-08T12:45:00Z,Bitcoin Has Not Held Up Well Against Inflation. Will It Ever?,"Since November, the price of Bitcoin has fallen about 38% in the face of surging inflation."
2022-02-09T05:30:00Z,Small Business Optimism Continues To Weaken,"The January NFIB Small Business Optimism Index was reported at 97.1, down 1.8 points. Inflation remains an issue in the near term and is a key factor contributing to weaker business optimism"
2022-02-09T12:30:00Z,Growth Bubble Bursts: More To Come,Many former high-flying growth stocks have underperformed massively. Read more to see why we think that this trend could remain in place.
2022-02-10T11:08:22Z,Cathie Wood Sells Yet Another $12M In Twitter Shares Ahead Of Social Media Company's Q4 Earnings Report,"Cathie Wood-led Ark Investment Management on Wednesday further lowered its exposure in Twitter Inc (NYSE: TWTR), a day before the microblogging company is scheduled to report its financial results for the latest quarter.
Ark Invest sold 315,130 shares — estimated to be worth $11.9 million — in the San Francisco, California-based company.
Twitter stock closed 5.11% higher at $37.8 a share on Wednesday. The stock has been under pressure lately and is down 19.7% since Parag Agarwal was named CEO on Nov. 29.
The popular investment firm has sold about 4.5 million Twitter shares this ..."
2022-02-10T13:37:00Z,Skillz Stock: Bear vs. Bull,The online gaming service provider has lost 90% of its value over the past 12 months.
2022-02-10T14:42:00Z,How to profit from your losses on those 'Cathie Wood' stocks,3 ways to turn today’s pain into tomorrow’s gain
