Date,Title,Description
2022-01-13T13:37:00Z,3 Reasons to Buy This Newly Minted Dividend King,Abbott Laboratories recently joined the ranks of dividend payer royalty.
2022-01-14T15:17:03Z,"Why Moderna, Novavax And Other Vaccine Stocks Are Extending Losses Today","COVID-19 vaccine stocks are all retreating sharply for a second day running on Friday.
The U.S. Supreme Court on Thursday ruled against President Joe Biden's quest to make it mandatory for large businesses employing over 100 people to have their staff vaccinated and undergo weekly testing. The mandate is a significant encroachment on the lives and health of a vast number of employers, the court said.
The court, however, permitted the vaccine mandate for health care workers in facilities which receive ..."
2022-01-14T15:46:34Z,"TINA Was Wrong, Cash Is Not Trash, And There Is An Alternative","Despite high rates of inflation, recent CPI readings register a 7.0% inflation rate, many stock prices have deteriorated faster than cash prices. See more here."
2022-01-14T17:40:00Z,"Q4 Earnings Update and Analyst Reports for Apple, JNJ & McDonald's","In addition to a real-time Q4 scorecard, today's article features new research reports Apple (AAPL), Johnson & Johnson (JNJ), McDonald's (MCD) and others."
2022-01-17T10:55:00Z,3 Top Dividend Stocks on Robinhood's Most Popular List,Income investors have a lot to like with these popular Robinhood stocks.
2022-01-17T11:20:11Z,Is WisdomTree U.S. LargeCap Dividend ETF (DLN) a Strong ETF Right Now?,Smart Beta ETF report for DLN
2022-01-17T13:12:00Z,"The Zacks Analyst Blog Highlights: Apple Inc., Johnson & Johnson and McDonald's Corp","Apple Inc., Johnson & Johnson and McDonald's Corp are highlighted in this analyst blog article."
2022-01-18T12:42:00Z,Here's Some Good News for Novavax That Investors Are Overlooking,It could be on the path to success in Europe.
2022-01-18T18:48:00Z,Why You Should Invest in Dividend Growth ETFs Now,We highlight 3 ultra-cheap ETFs that focus on high quality dividend payers
2022-01-19T11:20:11Z,Should WisdomTree U.S. Total Dividend ETF (DTD) Be on Your Investing Radar?,Style Box ETF report for DTD
2022-01-19T22:45:20Z,Johnson & Johnson (JNJ) Stock Moves -0.31%: What You Should Know,"In the latest trading session, Johnson & Johnson (JNJ) closed at $166.58, marking a -0.31% move from the previous day."
2022-01-20T11:20:09Z,Should Vanguard Value ETF (VTV) Be on Your Investing Radar?,Style Box ETF report for VTV
2022-01-20T15:30:00Z,Is Ocugen Stock a Buy Now?,The biotech company is still looking to carve out a profitable chunk of the coronavirus vaccine market.
2022-01-20T15:45:00Z,Will Johnson & Johnson Be a Better Buy After Spinning Off Its Consumer Business?,"The slimmed-down healthcare company will be less diverse, but it will also have fewer problems."
2022-01-21T14:18:00Z,J&J (JNJ) to Set the Stage for Pharma Sector Q4 Earnings,J&J's (JNJ) Pharma segment is expected to have performed above the market. It remains to be seen if sales improved in the Medical Devices segment in the fourth quarter.
2022-01-21T15:30:00Z,2 Dividend Stocks to Buy and Hold Forever,Some healthcare services will never become obsolete.
2022-01-22T12:57:00Z,2 Healthcare Stocks You Can Buy and Hold for the Next Decade,Both of these healthcare stalwarts offer dividends and double-digit revenue growth
2022-01-22T14:57:59Z,"Stocks To Watch: FOMC Meeting, Earnings Rush And Testing Times In Crypto","Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week"
2022-01-22T15:50:00Z,2 Monster Stocks to Buy Without Any Hesitation,It's not too late to get in on these market-beating companies.
2022-01-23T01:45:00Z,Could 1 of These Be the Next Trillion-Dollar Company?,Some of these names may surprise you.
2022-01-23T10:52:00Z,3 Dividend Stocks to Buy and Hold Forever,All three have great dividends plus solid business models that are built for the long term.
2022-01-23T12:47:00Z,4 Index Funds I Predict Will Beat the Market in 2022,"The global economy's underpinnings are changing in a big way, which will help some industries while hurting others."
2022-01-23T16:03:39Z,"The Week Ahead In Biotech (Jan 23-29): Roche, Azurity FDA Decisions, J&J, Vertex Earnings, Samsara Vision IPO And More","Biotech stocks pulled back yet again during the week ending Jan. 21, with the sector retreating along with the broader market. The news flow tapered off following the frenetic pace of the week that encompassed the JPM Healthcare conference.
On the M&A front, rare disease biopharma Zogenix, Inc. (NASDAQ: ZGNX) agreed  to be acquired by Belgium's UCB SA (OTC: UCBJY) for about $1.8 billion.
Here are the key catalytic events biotech investors can look forward to in the unfolding week:
Conferences
B. Riley Virtual Oncology Conference: Jan. 27-28
PDUFA Dates
The Food and Drug Administration is scheduled to announce by Saturday, Jan. 29, its verdict on Azurity's new drug application for zonisamide oral suspension for the treatment of partial seizures in patients with epilepsy. Azurity had purchased zonisamide oral suspension from Eton Pharmaceuticals, Inc.(NASDAQ:"
2022-01-24T11:20:10Z,Is SPDR MSCI USA StrategicFactors ETF (QUS) a Strong ETF Right Now?,Smart Beta ETF report for QUS
2022-01-24T13:10:00Z,Johnson & Johnson's got a new CEO and a plan to split the company in two. Here's what else to expect out of J&J's earnings,Johnson & Johnson has long been viewed as a bellwether stock for other health care companies.
2022-01-24T16:06:00Z,Are Investors Too Focused on Short-Term Market Volatility?,"The waters are choppy, but keep your eye on the horizon."
2022-01-24T22:51:00Z,Did Stock Markets Touch Bottom Today?,"We saw the indexes come roaring back, particularly in the last hour of regular trading, which surged each major index into the green."
2022-01-24T23:37:31Z,Why Vaccine Stocks Like Moderna and Novavax Tumbled (Again) Today,The bullish case for owning COVID-19 vaccine makers is weakening as much of the world throws in the towel on trying to curb the spread of the coronavirus.
2022-01-25T09:14:19Z,"5 Stocks To Watch For January 25, 2022","Some of the stocks that may grab investor focus today are:

Wall Street expects  Johnson & Johnson  (NYSE: JNJ) to report quarterly earnings at $2.12 per share on revenue of $25.29 billion before the opening bell. Johnson & Johnson shares fell 0.3% to $162.50 in after-hours trading.
IBM Common Stock (NYSE: IBM) reported better-than-expected results for its fourth quarter on Monday. IBM shares gained 2.4% ..."
2022-01-25T10:34:00Z,"A Peek Into The Markets: US Stock Futures Mostly Lower Ahead Of Earnings, Fed Meeting","Pre-open movers
U.S. stock futures traded mostly lower in early pre-market trade. The Dow Jones settled higher by around 100 points on Monday after tumbling more than 1,000 points earlier in the session. Investors are awaiting earnings results from  Johnson & Johnson  (NYSE: JNJ),  Verizon Communications Inc.  (NYSE: VZ),  American Express  (NYSE: AXP),  3M  (NYSE: MMM) and  Microsoft Corporation  (NASDAQ: MSFT).
The Federal Open Market Committee will begin its two-day policy meeting today. The S&P Corelogic Case-Shiller home price index and FHFA House Price Index for November will be released at 9:00 a.m. ET. The Conference Board’s Consumer Confidence Index and Richmond Fed manufacturing index for January will be released at 10:00 p.m. ET.
Futures for the Dow Jones Industrial Average dropped 37 points to 34,216.00 while the Standard & Poor’s 500 index futures fell 25.25 points to 4,378.50. Futures for the Nasdaq index dropped 151 points to 14,350.00.
The U.S. has ..."
2022-01-25T11:00:00Z,"Where to Invest $5,000 for the Next 5 Years",Aim for companies with solid earnings prospects.
2022-01-25T12:46:12Z,"The Daily Biotech Pulse: Pfizer-BioNTech Starts Omicron-Specific Vaccine Study, J&J Misses On Topline, Sierra Oncology Reports Positive Data","Here's a roundup of top developments in the biotech space over the last 24 hours.
Stocks In Focus
Pfizer, BioNTech Initiates Study Of Omicron-Based Vaccine Candidate
Pfizer, Inc. (NYSE: PFE) and BioNTech SE (NASDAQ: BNTX) announced the initiation of a clinical study to evaluate the safety, tolerability and immunogenicity of an omicron-based vaccine candidate in healthy adults 18 through 55 years of age. The study will have three cohorts examining different regimens of the current Pfizer-BioNTech COVID-19 vaccine or an Omicron-based vaccine.
Opiant Announces Award of Incremental $2.2M BARDA Funding For Opioid Overdose Drug
Opiant Pharmaceuticals, Inc. (NASDAQ: OPNT) announced a modification to its contract with the BARDA for an additional commitment of up to $2.2 million to support OPNT003, nasal nalmefene, for opioid overdose. The increase in funding is primarily directed toward the costs of Opiant's clinical studies to support its submission of OPNT003 to the Food and Drug Administration.
Click  here  to access Benzinga's FDA Calendar
89bio Announces Positive Phase 1b/2a Data For NASH Drug
89bio, Inc. (NASDAQ: ETNB) announced positive topline results from an open-label expansion cohort of 20 patients, named Cohort 7, in the Phase 1b/2a proof-of-concept study evaluating pegozafermin for the treatment of non-alcoholic steatohepatitis.
The stock was up 2.08% at $9.80 in premarket trading.
Roche's Application For Expanding Label Of Spinal Muscular Dystrophy Treatment Accepted For Priority Review In U.S.
Roche Holding AG (PNK: RHHBY) said the FDA has granted priority review of a supplemental new drug application for the use of Evrysdi ..."
2022-01-25T12:55:02Z,Johnson & Johnson (JNJ) Surpasses Q4 Earnings Estimates,"Johnson & Johnson (JNJ) delivered earnings and revenue surprises of 0.47% and 1.77%, respectively, for the quarter ended December 2021. Do the numbers hold clues to what lies ahead for the stock?"
2022-01-25T14:37:00Z,"These five signals will tell you when the Wall Street correction is over, says veteran strategist",Barry Bannister and the team at Stifel say investors should be wary of any late-day rallies from a stock market that has miles to go before its correction phase is over.
2022-01-25T14:50:39Z,J&J CFO on Q4 results: ‘we’re very well positioned for 2022’,"Johnson & Johnson (NYSE: JNJ) on Tuesday reported lower-than-expected revenue for its fiscal fourth quarter. Shares still jumped 2.5% this morning on strong guidance for the future. Q4 financial performance Johnson & Johnson reported $4.736 billion in net income ($1.77 per share) versus the year-ago figure of $1.738 billion (65 cents per share). On an […]
La notizia J&J CFO on Q4 results: ‘we’re very well positioned for 2022’ era stato segnalata su Invezz."
2022-01-25T15:52:00Z,"J&J (JNJ) Q4 Earnings Beat Estimates by a Penny, Sales Miss",J&J (JNJ) reports mixed fourth-quarter results. It beats estimates for earnings but misses the same for sales.
2022-01-25T16:04:00Z,Markets Await More Earnings Data,Markets Await More Earnings Data
2022-01-25T21:08:29Z,Why Johnson & Johnson Stock Rose Today,Investors liked the company's fourth-quarter update.
2022-01-25T21:46:00Z,"Dow slips from positive territory, U.S. stocks end lower in volatile trade as Fed kicks off policy meeting","U.S. stocks close lower Tuesday, after a wild day of trading Monday that saw a 1,200-point swing by the Dow."
2022-01-25T22:30:25Z,Johnson & Johnson (JNJ) Q4 2021 Earnings Call Transcript,"JNJ earnings call for the period ending December 31, 2021."
2022-01-26T11:20:07Z,Is Vanguard Dividend Appreciation ETF (VIG) a Strong ETF Right Now?,Smart Beta ETF report for VIG
2022-01-26T12:31:00Z,2 Charts That Show Why Investors Might Be More Conservative in 2022,The S&P 500 may be overdue for a pullback this year.
2022-01-26T12:52:00Z,2 Top Dividend Kings to Buy for the Long Haul,"The Dividend King club is an exclusive one. It takes good management to grow a dividend for 50 or more years, and these two healthcare stocks offer that."
2022-01-26T13:51:00Z,2 Stocks to Buy No Matter What Happens in 2022,It is still not too late to pick up Qualcomm and Pfizer.
2022-01-26T14:10:00Z,Smith+Nephew (SNN) to Acquire Orlando-Based Engage Surgical,Smith+Nephew's (SNN) acquisition of Engage Surgical reinforces its growth strategy while expanding its Orthopaedic Reconstruction product line.
2022-01-26T14:48:00Z,"Company News for Jan 26, 2022","Companies in The News Are: JNJ,LMT,ERIC,MMM"
2022-01-27T10:51:00Z,3 of the Safest Stocks to Buy if There's a Stock Market Crash,This stock trio can help you successfully navigate heightened market volatility.
2022-01-27T12:21:00Z,1 Top Biotech Stock Ready for a Bull Run,"From the shadows of missed deadlines, this company could become a common name in Covid vaccines"
2022-01-27T12:57:49Z,"The Daily Biotech Pulse: Galapagos Appoints J&J Exec As CEO, Aridis Gets Funding For Antiviral Treatment, Moderna Starts Omicron-Specific Booster Study","Here's a roundup of top developments in the biotech space over the last 24 hours:
Stocks In Focus
Atara To Sell Manufacturing Plant to Fuji's CDMO Unit For $100M
Atara Biotherapeutics, Inc. (NASDAQ: ATRA) announced that it has entered into a long-term strategic agreement with FUJIFILM Diosynth Biotechnologies, a subsidiary of FUJIFILM Holdings Corporation (Pink: FUJIY), under which Fujifilm will acquire Atara's T-Cell Operations and Manufacturing facility in Thousand Oaks, California for $100 million upfront, retaining current manufacturing and quality staff at the site.
Following completion of the transaction, FDB will provide Atara with access to the flexible capacity and specific capability needed to manufacture clinical and commercial-stage allogeneic cell therapies for its maturing pipeline.
Atara shares was adding 8.79% to $16.59 in premarket trading.
Galapagos Appoints Paul Stoffels As CEO
Galapagos NV (NASDAQ: GLPG) announced the appointment of Dr. Paul Stoffels as chief executive officer, effective April 1, 2022. Previously, Stoffels was vice chairman of the executive committee and chief scientific officer of Johnson & Johnson, Inc. (NYSE: JNJ), where he spearheaded the company's research and product pipeline.
The  stock  was climbing 12.08% to $59.76 in premarket trading.
Aridis Lands Gates Foundation Funding For Technology To Deliver Inhaled Formulation Of Monoclonal Antibodies Against COVID, Flu Viruses
Aridis Pharmaceuticals, Inc. (NASDAQ: ARDS) said it received a grant award from the Bill & Melinda Gates Foundation to evaluate the application of its inhaled formulation technology to deliver cost-effective monoclonal antibodies against influenza and SARS-CoV2 to people in low- and middle-income countries.
The $1.9-million award will fund the preclinical development of stabilized liquid aerosols and room temperature stable ..."
2022-01-27T16:00:00Z,2 Cheap Dividend Stocks With Yields Above 3%,Both of these businesses could also be good growth plays.
2022-01-27T16:21:00Z,"Pfizer (PFE), BioNTech Begin Omicron-Based COVID-19 Jab Study",Pfizer (PFE) and BioNTech (BNTX) announce that the first participants in a clinical study on its Omicron-specific COVID-19 vaccine candidate have been dosed.
2022-01-28T13:36:00Z,Start Your Investing Resolutions Off Right With This Classic Stock Bundle,These ten stocks are a great foundation for investors dealing with this market correction.
2022-01-28T15:16:00Z,"Pharma Stock Roundup: J&J Q4 Earnings, FDA's Rejection of PFE, MRK Pipeline Drugs",J&J (JNJ) reports mixed fourth-quarter results. FDA issues CRL to Merck (MRK) and Pfizer's (PFE) pipeline candidates. FDA approves AbbVie's (ABBV) Skyrizi for a second indication.
2022-01-28T15:39:00Z,Is a Beat Likely for AbbVie (ABBV) This Earnings Season?,"AbbVie's (ABBV) fourth-quarter results are expected to reflect the impact of strong demand for immunology drugs, aesthetics and cosmetics. Investors are likely to focus on any update related to the guidance for 2022."
2022-01-28T16:30:00Z,Want Extra Income? Get Paid by These 2 Healthcare Dividend Stocks in 2022,They're both better at providing cash flow than an index fund.
2022-01-28T17:57:00Z,"The Zacks Analyst Blog Highlights: Pfizer, BioNTech, Moderna and J&J","Pfizer, BioNTech, Moderna and J&J are included in this analyst blog."
2022-01-29T12:00:00Z,My Top Dividend Stocks For 2022,Dividend Stocks are one of my favorite forms of passive income to invest in on a regular basis. We will discuss the top 10 Dividend Stocks I will be looking to buy or add to in 2022.
2022-01-29T14:00:00Z,Meltdown Or Melt-Up? How To Handle The Volatility Of 2022 With An NPP Portfolio,"Is this bull market finally over? Or is the current slide just a bump in the road? We provide a stock investment strategy to capture maximal future gains, regardless of market direction."
2022-01-31T09:40:44Z,10 High-Yield Sleep Well At Night Blue-Chips Perfect For This Correction,"Volatility is back on Wall Street, with tech suffering its worst month since 2008. Find out 10 blue-chips you can buy at reasonable to attractive valuations."
2022-01-31T13:00:00Z,"Biotech stocks had a challenging year, but that doesn't mean they're 'necessarily on sale,' J&J exec tells investors",The comments made by a Johnson & Johnson executive earlier this week about biotechnology valuations calls attention to the struggling biotech sector.
2022-01-31T13:13:19Z,"The Week Ahead In Biotech (Jan 31-Feb 5): Merck, Bristol-Myers Squibb, Lilly & Novartis Headline Large-Cap Biopharma Earnings News","The broader market weakness pervaded into the biotech sector in the week ending Jan. 28, sending stocks lower.
Johnson & Johnson (NYSE: JNJ) got the ball rolling on large-cap biopharma earnings, with mixed results.  The positive forward outlook, however, lent support to the stock. Edwards Lifesciences Corporation (NYSE: EW) came under pressure following an earnings miss.
Among other noteworthy developments, the Pfizer (NYSE: PFE)-BioNTech SE (NASDAQ: BNTX) alliance and Moderna, Inc. (NASDAQ: MRNA) separately commenced their omicron-specific COVID-19 vaccine studies.
Gilead Sciences, Inc. (NASDAQ: GILD) faced a setback after the Food and Drug Administration placed its clinical involving magrolimab on hold. Magrolimab, a anti-CD47 antibody, was acquired as part of the company's $4.9 billion deal to buy of Forty Seven. The antibody treatment is being evaluated with azacytidine in five blood cancer studies, including three Phase 3 studies.
Here are the key catalysts that could impact ..."
2022-01-31T16:00:00Z,AbbVie's (ABBV) Q4 Earnings May Reflect Slower Sales Recovery,"AbbVie's (ABBV) drugs are expected to have continued the recovering trend in sales during the fourth quarter. However, increased COVID-19 cases are likely to have hurt the pace of recovery during the quarter."
2022-01-31T17:32:00Z,Novavax (NVAX) Stock Rises on Deal for COVID-19 Jab in Israel,"Novavax (NVAX) enters into a supply agreement for its COVID-19 vaccine candidate, NVX-CoV2373, with Israel's Ministry of Health. Shares rise."
2022-01-31T17:47:00Z,"Top Analyst Reports for Apple, Tesla & Johnson & Johnson","Today's Research Daily features new research reports on 16 major stocks, including Apple Inc. (AAPL), Tesla, Inc. (TSLA), and Johnson & Johnson (JNJ)."
2022-02-01T10:00:00Z,"The Zacks Analyst Blog Highlights: Apple Inc., Tesla, Inc., and Johnson & Johnson","Apple Inc., Tesla, Inc., and Johnson & Johnson are highlighted in this Analyst Blog article."
2022-02-01T10:56:00Z,3 Warren Buffett Dividend Stocks to Buy in February,Here are the best dividend picks in Berkshire Hathaway's portfolio.
2022-02-01T14:45:00Z,"Pharma Stocks to Report Q4 Earnings on Feb 2: ABBV, NVS & NVO","Let us take a look at three large pharma companies - ABBV, NVS and NVO - due to release their quarterly results on Feb 2."
2022-02-01T16:47:00Z,Novavax's (NVAX) Shares Rise on FDA Filing for COVID Jab,"After a series of delays, Novavax (NVAX) finally files a regulatory application with the FDA seeking emergency use authorization of its COVID-19 vaccine."
2022-02-01T17:50:00Z,Moderna (MRNA) Up on Its COVID Vaccine's Receipt of Full FDA Nod,"The FDA grants full approval to Moderna's (MRNA) mRNA-based COVID-19 vaccine, Spikevax, for individuals aged 18 years and above. Shares up."
2022-02-01T18:52:00Z,How to Handle Market Volatility and Manage Risk,And a look at market news including whether other card companies will benefit from the lift in consumer spending American Express saw in the fourth quarter.
2022-02-02T10:55:00Z,3 Stocks to Buy Now If You're Anxious About the Stock Market,These stocks offer stability during turbulent times.
2022-02-02T16:40:00Z,"AbbVie's (ABBV) Q4 Earnings Surpass Estimates, Sales Miss","AbbVie (ABBV) beats fourth-quarter 2021 earnings estimates while missing the same for sales. Strong demand for immunology drugs, aesthetics and cosmetics drives sales. Shares up."
2022-02-02T17:31:00Z,"Drug/Biotech Stocks Earnings on Feb 3: BIIB, LLY & MRK","Let us take a look at three drug/biotech companies, namely, BIIB, LLY and MRK, which are gearing up for their earnings release."
2022-02-03T12:05:00Z,Here's What to Like About Johnson & Johnson's Q4 Update,The pharmaceutical segment continues to be J&J's biggest growth driver.
2022-02-03T13:13:02Z,"The Daily Biotech Pulse: Big Pharma Earnings Prove Lackluster, Mersana Inks $1B ADC R&D Deal, Syros Gets Orphan Drug Designation","Here's a roundup of top developments in the biotech space over the last 24 hours:
Stocks In Focus
Syros' Blood Cancer Drugs Land Orphan Designation From FDA
Syros Pharmaceuticals, Inc. (NASDAQ: SYRS) said the U.S. Food and Drug Administration has granted orphan drug designation to tamibarotene for the treatment of myelodysplastic syndrome. Tamibarotene is being evaluated in combination with Bristol-Myers Squibb Company's (NYSE: BMY) Vidaza in the SELECT-MDS-1 Phase 3 trial for RARA-positive patients with newly diagnosed, higher-risk MDS.
The  stock  was advancing 8.29% to $2.09 in premarket trading.
Mersana Strikes Antibody-Drug Conjugate R&D Collaboration Deal With J&J Unit For Over $1B
Mersana Therapeutics, Inc. (NASDAQ: MRSN) announced a research collaboration and license agreement with Johnson & Johnson's (NYSE: JNJ) Janssen unit discover novel antibody-drug conjugates for three targets. Under the terms of the agreement, Janssen will provide proprietary antibodies for three targets. Mersana will apply its expertise and its proprietary Dolasynthen platform to discover novel ADC product candidates.
Mersana will receive an upfront payment of $40 million. Mersana is eligible to receive reimbursement of certain costs as well as more than $1 billion in potential milestone payments, plus mid-single-digit to low double-digit percentage royalties on worldwide net sales of ADCs against the selected targets.
FDA Clears Pardes Pardes To Commence Phase 1 Study Of Oral Antiviral Treatment
Pardes Biosciences, Inc. (NASDAQ: PRDS) said its investigational new drug application for PBI-0451, a direct-acting, oral antiviral drug candidate for the treatment ..."
2022-02-03T13:32:00Z,"Drug/Biotech Stock Q4 Earnings Due on Feb 4: BMY, REGN & SNY","Let us take a look at three biotech/pharma companies ??? BMY, REGN and SNY ??? that are slated to release quarterly results on Feb 4."
2022-02-03T15:45:00Z,Johnson & Johnson's Q4: Looking Behind the Numbers,"Its profit last quarter more than doubled in size, but what was behind that impressive result?"
